fact,question,A,B,C,D,commonSense,answer
fossil fuels are a nonrenewable resource,"A person fills their tank with fossil fuels, and knows that in one hundred years",they may be more bountiful,they may be more frequent,they may cease existing,they may be free,"['gasoline is a fossil fuel', 'oil is a fossil fuel']",C
pollution is a source of pollutants,"If someone released a pollutant into the world, it would be all aside from",plastic,poison,trees,smoke,"['it takes pollutants from the air', 'cars make pollution']",C
a skinny beak is used for obtaining food by a bird from small spaces,Hummingbirds gather nectar using their,bills,wings,hands,feet,"['hummingbirds like nectar', 'hummingbirds are birds whose food source is nectar']",A
cooking causes a chemical reaction,At a campsite one night we all gather round a fire to roast marshmallows; this is an example of,dinner,fusion,maillard reaction,competition,"['Fire is a chemical reaction', 'fire is a chemical reaction']",C
genes are a vehicle for passing inherited characteristics from parent to offspring,What can genes do?,Give a young goat hair that looks like its mother's hair,Make a baby chubby,Make a horse break its leg,Attack viruses and bacteria,"['inherited behavior is passed on by genes', 'genes house the DNA which holds the inherited characteristic']",A
microorganisms cause food to spoil,"A team has pizza after a game, and they eat most of it, but leave the rest of the pizza out. The pizza is later inedible because of",need to play games,bedtime coming sooner than thought,lack of food preservation,exhaustion from the sun,"['pizza is food', 'pizza is a food that birds will eat']",C
the composition of something can be used to identify that something,How might you figure out what a parts are needed to let your car drive?,think very hard until you figure it out,ask the person who invented it,throw it in a lake and see if it floats,break it down and determine what it is composed of,"['you need heat to thaw something', 'Moving toward something will let you see it better']",D
trees are a renewable resource,You may use a tree to,build a human,build a bench,build a car,build a computer,"['Trees are plants', 'trees are plants']",B
a radiator is a source of heat,A source of heat could be,an ice cube,a fan,holding hands,a snowflake,"['the sun is a source of heat', 'Skin contact could be a source of heat.']",C
soil contains nutrients for plants,What contains nutrients for plants?,dirt cheap,wind,ground minerals,soiled clothes,"['soil contains nutrients', 'plant food contains nutrients']",C
no light shines through an opaque object,Light has the inability to shine through what?,solid wood,glass,atmospheres,water,"['light shines off of reflective surfaces', 'light has no mass']",A
most canyons are formed by flowing rivers through erosion over long periods of time,"A mighty river flows through an area for millennia. Afterwards, it can be noted that where there once were shallow rivers, there are now",massive canyons,large bricks,old socks,small creeks,"['rivers are flowing liquid', 'canyons are formed by rivers']",A
moving an object from a cool place to a warm place causes the object 's temperature to increase,Taking a chicken leg from a deep freezer and placing it on a kitchen counter will,cause it to die,cause it to unfreeze,cause it to freeze,cause it to corrode,"['photosynthesis takes place in chloroplast', 'nature places are environments']",B
"as the roughness of something increases , the friction of that something will increase when its surface moves against another surface",A ball rolling over carpet will go ______ than a ball rolling over concrete.,slower,speedier,greater,faster,"['If I wanted to make something move faster I could roll it', 'rolling out is spreading or increasing']",A
"as the amount of food an animal eats increases , the weight of that animal will increase","Just like with humans, if another organism consumes more calories than it burns off, it will inevitably",get fatter,run,fly,die,"['Eating more than you burn off leads to weight gain', 'farming increases the amount of food']",A
some animals move quickly to escape predators,Why did the roadrunner cross the desert road?,to evade a polar bear,to evade a coyote,to dodge a tsunami,to outrun an avalanche,"['coyotes are predators which prey upon roadrunners, a an animal that moves quickly to escape them', 'eluding foe is escaping a predator']",B
"when light enters the eye through the pupil , that light falls on the retina","When you exit a dark film theater, the world",looks darker,looks brighter,looks the same,looks more French,"['pupils dilate in dark places to allow more light to fall on the retina, resulting in surroundings appearing brighter', 'pupils need to be open for light to enter']",B
an animal requires shelter,A puppy may be taken away from people if they,keep it outside lacking protection,play with it affectionately,feed it quality food,give it clean water,"['stomping on a puppy is harmful to the puppy', 'shelter is protection']",A
fossils are formed when layers of sediment cover the remains of organisms over time,"A person discovers a dinosaur skeleton in their backyard under a lot of dirt. The skeleton is lacking the bright whiteness of bones, because it is",filled with beer,covered in salt,trapped in stone,smooth with wires,"['fossils are skeletons in stone', 'dirt is a sediment']",C
Earth 's tilt on its axis causes seasons to occur,It becomes cold enough for heavy clothing in December in the northern hemisphere because,our planet's axis is tilted,Mercury's axis is tilted,the gravitational pull of Pluto on the southern hemisphere,lyrics about winter by popular musicians always mention bundling up,"['Our planet is Earth, which has a cold season in the northern hemisphere in the month of December', 'December is also during the winter in the northern hemisphere']",A
a closed circuit has continuous path,a switch turns something with a power source on because:,the circuit is opened,the light turns off,the insulation adds current,a piece of copper closes the circuit,"['a switch closes the circuit using copper metal', 'a circuit is the path energy follows']",D
living in an environment causes an organism to adapt to that environment,Jamaican natives have a dark skin tone do to,lack of nutrients,camouflage,solar radiation,their diet,"['chameleons can adapt skin color to environment', 'polar bears are an organism adapted to a cold environment']",C
loss of resources has a negative impact on the organisms in an area,"A lone fox is searching for its next meal in a meadow that used to be bountiful with food. This season, though, rabbits have all been eaten up and the field is dry and barren. The fox may",fly,speak,starve,float,"['a fox needs rabbits for food', 'overhunting has a negative impact and is a loss of resources']",C
if an organism 's prey moves quickly then that organism may need to move quickly to catch its prey,"A lion is hunting antelope. The antelope are fast, faster than the lion expected. To eat today, the lion needs",to find more water,to catch up to it,to enjoy its day,to wear better shoes,"['lions eat antelopes', 'lions need heat']",B
"as dryness increases in an environment , the available water in that environment will decrease",As the air becomes more arid it contains,oxygen,rain,less humidity,more static,"['as an object moves up through the air, the pressure on that object will decrease', 'water in the air becomes rain or snow']",C
wind carries sand from one place to another place,"A person has sand in their shoe from the beach, and they dump the sand out at their doorstep many miles away. The sand could end up back on that beach if",magic creatures move it,someone goes to the zoo,a large gust passes,people wish for it,"['glass is melted sand', 'beach sand is mostly comprised of quartz']",C
An example of a fossil is a paw print in rock,"If a tree falls in the forest, then gets covered in mud, it might form :",future imprints in rock,Houses for hairy  sasquatch,charmin brand toilet paper,Footprints on a beach,"['fossils form from peat or mud after a long period of time and are rock', 'leaves are dead things that fall from trees in the fall']",A
An example of camouflage is an organism looking like leaves,Camouflage is used by entities for hunting,air,trees,vittles,water,"['Some caterpillars use camouflage to look like poop', 'forest camouflage is popularly used by humans to hunt forest creatures']",C
if a tree is cut down then that tree will die,If a tree is separated from it's roots it will,run away,expire,have a party,get stronger,"[""seperating a tree from it's roots is to cut it down"", 'deforestation is cutting down trees']",B
water is often brackish in an estuary,Some human activities may create brackish like,swimming tubs,buildings,ships,cars,"['Some human activities can create brackish water, like swimming tubs.', 'rivers often meet at an estuary']",A
xylem carries water from the roots of a plant to the leaves of a plant,To see an example of xylem in work,organize flowers in a bouquet,put a rose in food dye,pull a plant from the root,poor water on a plant,"['Xylem absorbs water from the bottom of a plant', 'xylem moves water in plants like bushes']",B
the circulatory system transports blood throughout the body,What makes sure that the tips of your toes have enough of the gas that plants put off?,your circulatory system,your pancreas,warm socks,your nervous system,"['the sun heats the earth throughout the day, that heat is stored in the crust', 'blood transports oxygen']",A
some light bulbs convert electricity into light and heat energy,The production of lightbulbs effects the,brain,blood cells,air,ocean,"['Light bulb production effects the ocean negatively.', 'the filament converts the energy in a light bulb']",D
an earthquake changes Earth 's surface quickly,A quick way to adjust the formation of portions of the crust of the earth is for it to,experience trembling,make believe,fall down,fly away,"[""The Earth's surface is changed quickly by an earthquake."", 'the earth is covered by a crust of stone']",A
water is an electrical conductor,H2O allows for the conduction of,electrical potential,land,neurons,people,"['conductors conduct', 'H2O is water']",A
seeds may sprout when buried in soil,seeds may grow when,ingested,roasted,left alone,placed underground,"['seeds that grow have sprouted', 'Pumpkins sprout from seed']",D
a desert environment has low rainfall,What will be more available in an area when rain is common?,dirt,air,h2o,fire,"['commonality means have in common', 'water amounts can be measured to be more after rainfall']",C
the surface of the Earth contains mountains,The Earth's topography varies widely from the deepest trenches to the tallest,tales,trees,pinnacle,buildings,"['the ocean is on the Earth', 'The Earth is the third planet from the sun']",C
gills are used for breathing water by aquatic animals,Gills are used to breath water by what?,salmon,fishing boats,mammals,penguins,"['gills are specialized breathing parts', 'hermit crabs use gills to breathe']",A
"as the resistance to something increases , how easilty that something can be done will decrease",Which weight has the most resistance when being picked up?,3 pound purple weight,2 pound pink weight,5 pound green weight,8 pound blue weight,"['when resistance occurs, friction occurs', ""it's harder to pick up a heavier weight than a lighter weight""]",D
denser liquids settle below liquids that are less dense,"Because it's less dense, water floats on top of",honey,vegetable oil,our insect overlords,water,"['water is less dense than honey', 'water is a liquid']",A
if an organism dies then the population of that organism will decrease,If an organism dies what happens to that organisms population?,relaxes,cries,increases,subsides,"['An animal is an organism.', 'Once it is considered very like that the entire population of an organism will reach 0, that organism is considered endangered.']",D
clear weather means sunny weather,"On a morning when the weather is clear, the sky is",bright,cloudy,stormy,dark,"['the sky is bright in sunny weather', 'moving water is weathering']",A
"as population of predators decreases , the population of prey will increase in an environment","Imagine a huge rabies epidemic, where all the cats in the world died, which species would over run the earth?",Rodents,Pachyderms,Butterflys,Homo sapiens,"['a species community is its population', 'a boom in population is an increase']",A
"as roughness of a surface increases , friction will increase",A cat finds it easiest to get a grip when climbing up,plastic pole,carpeted pole,icy pole,metal pole,"['if friction increases, heat increases', 'carpet has roughness and friction']",B
December is during the winter in the northern hemisphere,"Miles above the equator, people from several faiths celebrate holidays in",cool months,eastern months,more months,warm months,"['December is also during the winter in the northern hemisphere', 'winter is in December']",A
an inclined plane is used for raising objects,A person needs to move a boulder from a crevice to a bluff. The person employs the use of,a fast car and a ball,a plank with one end raised,a small bowl of soup,a stick with a leaf,"['a plank can be used as an inclined plane', 'To transfer heat from person to person use skin contact.']",B
the Earth rotates on its axis on its axis,"The earth has continents that experience different things at different times, depending on where on Earth's axis it is, such as",cartoons,forests,lunch,Christmas,"['planets rotate on their axis', 'the globe, our earth, shifts on its axis']",D
living underground can be used for hiding from predators,"A mole can avoid being detected by hawks, owls and other predators by",moving slowly,setting traps,traveling beneath soil,building decoys,"['octopus can avoid predators by hiding', 'moles live underground']",C
polluting means something poisonous is added to an environment causing harm to the environment,Factories often add something to the environment that is,helpful,productive,sanitizing,posionous,"['many factories pollute', 'the environment of something is whats immediately surrounding it']",D
"as the amount of water received by a plant increases , that plant will usually grow",As the amount of water a plant receives increases what will usually happen with it?,diminish,shrinking,grow metal,expanded proportions,"['The amount of water a plant receives is much greater in the Spring', 'growing water levels occur when water amounts increase']",D
telephones convert sound energy into electrical energy,The diaphragms in the microphone and speaker convert sound energy into,light energy,low voltage electricity,back message,heat energy,"['telephones contain microphones and speakers', 'an electric fan converts electrical energy into mechanical energy']",B
the phases of the Moon change the appearance of the Moon,The moon looks different in different parts of,April,today,this week,2018,"['a full moon is one of the phases of the moon', 'a full moon is a phase of the moon']",A
Earth 's surface is made of rock,"If the earth were small enough to put on a plate and serve up for dinner, the being eating it would get mouthfuls of",stew,towels,stone,corn,"['the ocean is on the Earth', 'the ground is the surface of the Earth which has rocks comprised of elements']",C
transpiration usually happens in the leaves of a plant,transpiration happens in the leaves of what?,rocks,shrubbery,cars,animals,"['hydrangea is a plant, with leaves that have transpiration', 'water content in plants is controlled by transpiration']",B
a line graph is used for showing change over time,"A person wants to show that they have lost money with their business, and they want to show someone. They decide to use a graph that shows",more money,circled things,pictures of cats,ups and downs,"['line graphs can show fish populations over time', 'line graphs have ups and downs']",D
the vanes rotating in an electric fan causes air to move,A fan pushes air with,forks,straw,rotating flat surface,lumber,"['strong fans cool air', 'table fans use electricity']",C
the breaking down of food into simple substances occurs in the digestive system,People eating meals or snacks containing substances are further processed in the,reproductive system,burgers and fries,gastro tract,ocular department,"['the object is the substance', 'stomach acid breaks down food substances']",C
the Earth revolving around the sun causes stars to appear in different areas in the sky at different times of year,If you're in the North Pole the North Star may be visible when?,a weed,two months,a day,all year round,"[""From it's position the North Star is visible all year long from the North Pole."", 'Stars revolve in the sky']",D
darkness has a negative impact on photosynthesis,How does darkness impact photosynthesis?,positively,increases absorption,very poorly,increases endurance,"['to have a poor impact is a negative impact', 'photosynthesis requires light']",C
mammals give birth to live young,"Birds give birth to their babies while still in an egg. Mammals, however, give birth to their babies",scrambled,already alive,dead,Old,"['koalas are mammals that give birth', 'fish do not give live birth']",B
an organism 's environment affects that organism 's acquired characteristics,what affects an organisms acquired characteristics?,the moon,gravity,its immediate surroundings,birthday,"['an animal gets acquired characteristics from its parents', 'acquired characteristics can happen in a dangerous place']",C
sunlight produces heat,sunlight produces,darkness,wind,solar radiation,snow,"['the sun is a producer of heat', 'a plant light can produce sunlight type of lighting']",C
soil is formed by rocks eroding,A field is tilled and soil is filled with nutrients after years of,bears eroding trees,the flu dissolving,stones being destroyed,corn burning up,"['soil contains nutrients', 'tilling the ground makes the soil loose']",C
the sun is the source of energy for physical cycles on Earth,Every single bit of growth and life on earth is connected to the power of,solar aliens,magic orbs,magic beans,daylight,"['The sun is a source of heat for the earth', 'the ocean is on the Earth']",D
magnifying glass is used to see small things by making objects appear bigger,"A lady needs to be able to confirm what very small text reads on her pill bottle, so a ______ is necessary.",microscope,telescope,magnifier,binoculars,"['a loupe is a small magnifying glass', 'magnifying glasses increase your ability to see']",C
a telescope is used for observing stars,A telescope is used to observe what?,heavenly bodies,star charts,animals,water,"['telescopes use electromagnetic radiation to function', 'measurement is through observations']",A
erosion causes deposition,Deposition is caused by what?,venus wind,forceful gales,airplanes,eroding mentalities,"['erosion caused by rain', 'sandbars requires sediment deposits']",B
"as light pollution increases , seeing the stars will be harder",A quiet desert town will see more _____ than a big city will.,buildings,cars,people,stars,"['with the increase of light pollution it will become harder to see the stars', 'stars are less visible in cities than in small towns']",D
"as the surface area of a body of water increases , evaporation of that body of water will increase",As a body of waters surface area increases what else will increase?,vaporization,evaporating milk,coals,fires,"['a lake is a body of water', 'seas are a body of water']",A
"photosynthesis makes food for the plant by converting carbon dioxide, water, and sunlight into carbohydrates","photosynthesis makes food for the plant by converting carbon dioxide, water, and sunlight into what?",dirt,sunlight,mental energy,sugars,"['plants use carbon dioxide during photosynthesis', 'plants need sunlight for photosynthesis']",D
a living thing is made of cells,All living things are made of parts that contain a,blood vessel,heart,nucleus,skeleton,"['organisms are all living things', 'plants are living things']",C
"as the sale of a product decreases , the amount of money made by the person selling that product will decrease",As ipod sale plummet apple reports major,loses,raises,firings,gains,"['Science fact: as the sale of a product decreases , the amount of money made by the person selling that product will decrease.  However, sales could possibly grow with advertising.', 'ipods are products']",A
a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion,a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in what motion?,frontward,backward,downward,upward,"['the wind is a force that acts on objects', 'as an object moves up through the air, the pressure on that object will decrease']",A
if liquid is boiling then that liquid is hot,if liquid is changing its state to gas then that liquid is,slimy,cold,condensing,hot,"['liquidity is a liquid state', 'boiling is when a liquid goes from a liquid state to a gas']",D
a pulley is used for lifting objects,A pulley is used to do what with objects?,crush,cool,increase altitude,elevate significance,"['a pulley uses pulling to move things', 'A pulley can be used to pull water from a well.']",C
earthquakes cause rock layers to fold on top of each other,A place you would want to avoid that is prone to Earthquakes would be,Kansas,Alaska,Osaka,France,"['layers on top of each other form mountains', 'Places like, Osaka, Japan are prone to Earthquakes.']",C
a compass is used to navigate oceans,A person using a compass can find their way when they are lost,in time,in play,in space,on water,"['compasses use magnets', 'compasses are used by seamen']",D
cool temperatures cause animals to shiver,"A puppy is sitting in a yard and is at the door, asking to come in. A person looks out the door and sees the pup tremble, so the person can tell that",the dog is lonely,the temps have dropped,the puppy is happy,the pup is strong,"['trembling is shivering', 'person is the force']",B
Earth orbiting the Sun causes seasons to change,Earth orbiting what causes seasons to change?,mars,saturn,local star,sunlight,"['the earth orbits', 'the Earth orbits the sun']",C
Matter in the liquid phase has variable shape,A person puts liquid matter in a glass and it,is hardened,evaporates immediately,is shaped similarly,melts the glass,"['Matter in the liquid phase fills the container it is in', 'liquid matter can be measured in any shape container since its shape is variable']",C
a graduated cylinder is used to measure volume of an object,A person pours water into a cylinder in order to,touch it,observe it,taste it,make it,"[""a graduated cylinder is a container with a printed scale on it's side"", 'small items like toys can be measured in a cylinder']",B
studying a soil sample means studying the microorganisms in that soil,studying a soil sample means studying the microorganisms in the,dirt,air,lava,water,"['migration is studied', 'scientists are experts in a field of study']",A
the ocean contains large amounts of salt water,Sharks live in a liquid deluged with sodium chloride because it allows them to,form sharknadoes,have increased buoyancy,eat people,star in films,"['the ocean is a liquid deluged with sodium chloride, which is the chemical name for salt', 'salt is sodium']",B
tearing an object changes that object 's shape,Tearing an object changes its what?,temperature,configuration,moistness,elements,"['paper can be teared', 'an objects configuration is its shape']",B
a flower 's purpose is to produce seeds,Flowers provide substance for many animals like,Whales,Seals,Dolphins,squirrels,"['many plants flower', ""seeds are a flower's offspring""]",D
dairy is a source of Vitamin D,A person with a vitamin D deficiency who is allergic to sunlight could,look at pictures,drink more water,bathe more often,eat more cheese,"['some foods contain vitamin d', 'the sun gives vitamin D']",D
volcanoes are often found under oceans,the ring of fire is made up of,kelp,immersed lava vents,marshmallows,ice formations,"['the ring of fire is under the ocean immersed lava vent are volcanoes', 'soil is found under grass']",B
a greenhouse is used to protect plants from the cold,A greenhouse is used to protect plants from what?,nutrients,freezing winds,socializing,fresh air,"['greenhouses protect from insects', 'greenhouses protect plants and flowers from the elements']",B
an amphibian is cold-blooded,What animal is cold-blooded?,cats,dogs,tree hopper,rats,"['amphibians are cold blooded and can not survive the cold', 'controlling blood temps is a part of being cold-blooded']",C
a mirror reflects light,Silver nitrate on hardened silicon will force light to,refract,scatter,become hot,dissipate,"['a mirror is made of silicon and silver nitrate', 'mirrors have reflections']",A
aluminum is recyclable,Cans can be taken to a place known as,the ocean,scrap yard,shot with BBs,buried,"['cans are aluminum', 'An aluminum mine allows obtaining aluminum to make pop, also known as soda, cans.']",B
pollution is when humans pollute the environment with pollutants,One way humans may be polluting the Earth is,using solar energy,antibacterial soap,riding bikes,walking,"['pollution is bad for the earth', 'One way humans may be polluting the Earth without realizing it is by using antibacterial soap']",B
wood is an electrical energy insulator,A person wanting to protect humans from electrocution through wire contact would wrap the wire in,a tin can barrier,a metal beam with steel,a copper rope with barbs,a log filled with sawdust,"['wires are an example of this', 'light energy comes from chemical energy in batteries being pushed through wires']",D
omnivores eat plants,Carnivores devour omnivores which eat,flora,rocks,crustaceans,sand,"['omnivores also eat meat', 'humans are natural omnivores']",A
clouds produce rain,A storm rolls in and the skies are filled with dark clouds which,melt,flood,precipitate,scurry,"['the sky is filled with gray clouds during storms', 'cloud precipitation is rain']",C
electrical conduction is when metals conduct electricity through metal,Electrical conduction may occur when,a person takes a trip,a person gets a dog,a person presses a key to a socket,a person moves plastic into a car,"['electricity is conducted through metal', 'keys are metal and conduct electricity']",C
"when pollen sticks to a hummingbird , that pollen will move to where the hummingbird moves",A field of flowers has pollen filled flowers. The most likely thing to do the seed spread would be,striped falcons,human children,wild boars,avian creature,"['flowers that attract more hummingbirds distribute more pollen', 'a flower procreates when pollen from another flower is deposited by bees']",D
alternative fuel is usually a renewable resource,Alternative fuel is usually a renewable what?,sound,meal,drink,asset,"['electricity is an alternate fuel source', 'light from stars is an alternative fuel']",D
live birth means developing inside the mother instead of an egg,Which of these use a womb instead of eggs for fetal development?,chickens,falcons,lemurs,hawks,"['wombs allow developing inside of a mother', 'some evolve to lay eggs instead of live births']",C
sleet is made of ice,Sleet is,potentially dangerous,poison,hot,unhealthy,"['sleet is a form of precipitation', 'sleet, or ice, is slick']",A
In the food chain process a green plant has the role of producer,Processes in the food chain begin with,leafy flora,purple horseshoes,yellow bees,breakfast,"['The first step in the food chain is always a producer like a green plant', 'producer organisms are the first level of the food chain']",A
a car engine usually converts gasoline into motion and heat through combustion,A car converts gasoline into motion and heat through what?,explosive charisma,cooling,incineration,warming,"['gasoline is used for cars', 'gasoline makes cars move']",C
"as the weight of an animal decreases , that animal will fly more easily","A crane starts off weighing thirty pounds, then later weighs twenty pounds. When travelling, the crane will fly",taller,better,slower,louder,"['twenty pounds is less weight than twenty four pounds', 'pulleys are in cranes']",B
skills are learned characteristics,A learned behavior is exhibited when a human displays that they can:,squinting in bright light,digesting food in the stomach,change a car tire,inhaling and exhaling during sleep,"['You have to learn skills', 'A learned characteristic could be learning how to do a cartwheel']",C
different organisms reproduce differently,Dogs reproduce differently from,bears,wolves,cats,earthworms,"['different birds eat different foods', 'different birds eat different food, so beaks need to be different']",D
a light bulb requires electrical energy to produce light,A light bulb will be lit up if it is all aside from,turned on,on a shelf,connected to electricity,screwed in,"['light bulbs use electricity', 'light energy involves all light']",B
contact between rocks over long periods of time causes rocks to smooth,A river rushes and pebbles are smacked around one another until,they are wet,they are clear,they are rough,they are velvety,"['pebbles are rocks', 'glaciers force contact between rocks']",D
pushing a button sometimes completes a circuit,A switch turns something on because:,electrons are made to excite,metal closes the circuit,the engine needs to run,the circuit is opened completely,"['a button is a switch', 'A light switch is an example of a circuit']",B
limestone is formed by water evaporating from a solution of water and minerals,Limestone is formed by water evaporating from a solution of water and mineral and a hard sedimentary rock used as building material and for making,lipstick,cement,lemon-lime soda,mineral water,"['limestone is a hard sedimentary rock used as building material and in the making of cement', 'Evaporation is a form of losing water']",B
a berry contains seeds,A person who wants to eat a watermelon may consider spitting out its,dark pips,good taste,coco pebbles,red fruit,"['watermelon is a berry', 'watermelon has seeds']",A
lizards eat insects,A boy wants to feed a gecko so he gives it,waxworms,dog food,chickens,markers,"['geckos are lizards', 'some lizards like some species of geckos live in tropical environments']",A
an animal requires enough nutrients to maintain good health,in order for an animal to stay healthy it needs to,consume enough food,exercise regularly,sleep long hours,reproduce,"['Nutrients from food and water are needed in order for an organism to survive', 'animals in snow need to stay warmer']",A
"as mileage per galon of gasoline increases , the amount of gasoline used will decrease","when fuel efficiency increases, gasoline use in cars will",stay the same,cause more windstorms,increase,decrease,"['gasoline is used for cars', 'gasoline is a fossil fuel']",D
evaporation causes amount of water to decrease,To see evaporation you can wrap,a metal in plastic,a bowl of water in plastic,a cat in a bag,money in plastic bags,"['The sun causes water to evaporate', 'Wrap a bowl of water in plastic to see evaporation happen.']",B
organisms can be preserved in sedimentary rock,"A tortoise died many years ago, but it is easy to tell that what was left behind was from a tortoise because in the rock there are",muscles,skeletal system,organs,candy pieces,"['a tortoise moves slowly', 'a single tortoise cannot make offspring']",B
hypothesis means scientific guess about the cause and effect of an event,Examples of hypothesis is,September 11th was a terrorist attack,Rain falls from the sky,Fish swim in water,Drinking sugary drinks daily leads to obesity,"['An example of a hypothesis is Drinking sugary drinks daily leads to obesity', 'it is an academic guess too']",D
the circulatory system carries oxygen from the digestive and respiratory systems to the rest of the body,The circulatory system brings oxygen to the body from where?,brain,chest,hands,stomach,"['lungs in chest, part of the circulatory system', 'The circulatory system is so long it could be wrapped around the Earth.']",B
the earth has more mass than the moon,"In a contest to see which would win based on size and weight, the winner with more of both would be",moon,Earth,pebble,cat,"['earth has more gravity than the moon', 'weight is based on gravity and mass']",B
a renewable resource can be replaced,A renewable resource you can find on Earth is,stars,Oil,sand clay,fossil fuels,"['light from the sun is a renewable resource', 'Air and water are renewable resources']",C
the first quarter phase of the moon occurs after the new moon,"Shortly after the moon is in ecliptical longitude with the Sun, one will see",a waning crescent,a waxing crescent,a waning gibbous,a waxing gibbous,"['A new moon occurs when the moon is in ecliptical longitude with the Sun', 'first quarter is the next moon phase after a new moon']",B
the moon does not contain water,A person in space will find a lack of something to drink if they land on,Mars,the earth,the moon,third planet,"['acid is not something to drink', 'the closest body in space to the earth is the moon']",C
chlorophyll is used for absorbing light energy by plants,Chlorophyll is good for allowing plants to absorb energy and,is dry,is dead,is clear,is healthy,"['plants use chlorophyll to make energy from sunlight', 'plants absorb sunlight energy']",D
if an organism becomes too hot then that organism may die,"A man is at the beach and is napping in the sun. He falls into a deep sleep and forgets to wake up. After hours of this, he",may flood beaches,may make whiskey,may cease existence,may file lawsuit,"['sleeping hours are at night', 'waking hours are during the day']",C
electric devices require electrical energy to function,A computer needs what to be functional,money,positive ions,a mommy,youtube,"['refrigerators need electricity to function', 'a computer requires electricity to run']",B
cold environments contain few organisms,Places lacking warmth have few what,biological entities,biological weapons,cold entities,astronomical entities,"['lack of heat means cold environment', 'light takes a few minutes to reach earth from the sun']",A
cold environments contain few organisms,Several animals flourish in cold temperatures like,Lizards,Terns,Antelope,Kangaroos,"['the arctic is a cold environment', 'coldness is temperature related']",B
a greenhouse is used to protect plants by keeping them warm,If an environment experiences harsh climates,plants will continue to flourish,ponds may dry up,tadpoles will mature faster into frogs,animals will experience a boom in reproduction,"['greenhouses create artificial environment from harsh situations', 'greenhouses protect from insects']",B
"as the available water in an environment increases , the populations of organisms in that environment will increase","A small creek becomes a rushing river after years of heavy rains in a particular location. In addition to the larger water source, there are also greater",rock fights,sheep herds,bunny rolls,speaking deer,"['rivers have rushing water', 'water in the air becomes rain or snow']",B
an animal knows how to do instinctive behaviors when it is born,Knowing what to do without ever being taught is known as,learned,found,instinctive,given,"['Instincts are behaviors or thoughts we are born knowing', 'speed is needed to know how long it would take to drive somewhere']",C
a planet rotating causes cycles of day and night on that planet,An observer on Jupiter would encounter localized periods of,darkness and light,constant nuclear fission,supernovas,black holes,"['Jupiter is a planet with rotations that cause cycles of day and night on the planet', 'Jupiter is a planet']",A
"when the needle of a compass lines up with Earth 's magnetic poles , the needle points north","when the needle of a compass lines up with Earth 's magnetic poles , the needle is",pointing east,pointing west,pointing at arctic,pointing to space,"[""Earth's magnets pull on compass needles"", 'compass needles aim towards magnetic poles']",C
some birds live in forests,"A penguin, while a bird, would avoid living in",a cold pole,a zoo,a frozen habitat,a native forest,"['penguins live in cold, not in forests', 'birds are living things']",D
echo is when sound reflects off of a surface,Echo is when sound reflects off of what?,atmosphere,tables,surface winds,sunlight,"['an echo is a delayed reflection of a sound', 'Single sound source reflects in form of an echo']",B
evaporation is a stage in the water cycle process,In order to see water evaporate you could,make pasta,clean the windows,drink water,dry your hair,"['The sun causes water to evaporate', 'the vaporization of water is evaporation']",A
if an object is close then that object will appear large,If an object is close then how will that object appear?,gigantic,minute,small,tiny,"['as an object moves up through the air, the pressure on that object will decrease', 'magnification makes an object appear larger']",A
An example of conservation is not using fossil fuel,Leaving remain oil supplies alone is a form of,conservation,deliberation,transportation,pollution,"['oil is an example of a fossil fuel', 'oil is a fossil fuel']",A
a bicycle contains screws,A bicycle may be used for,rain,cats,coffee grinding,elephants,"['unicycles are a type of bicycle', 'foot levers are used to pedal bicycles']",C
an equinox occurs twice per year,A person may celebrate an equinox,biyearly,monthly,yearly,biannually,"['the equinoxes occur at opposite times of the year', 'half a year twice is a full year']",D
a tree growing a tree-growth ring occurs once per year,"A person cuts down their neighbor's tree without permission. The neighbor who lost the tree is upset, and sues for the cost of the tree, which depends on the age of the tree at the time of cutting. The tree age is determined by",size of branches,number of leaves,color of roots,number of circles,"['Trees are plants', 'trees are plants']",D
"as the amount of rain increases in an environment , available sunlight will decrease in that environment",What decreases in an environment as the amount of rain increases?,solar light,water,rivers,hydration,"['farming increases the amount of food', 'an animal leaving an environment reduces the number of that animal in that space']",A
"as air pressure decreases , the chance of rain will increase","The pressure in air drops very low, so clouds",flood,sink,precipitate,melt,"['as an object moves up through the air, the pressure on that object will decrease', 'with less molecules present the pressure of the air decreases']",C
touch can be used for detecting texture,People can touch something to see if it's,shiny,red,striped,wrinkled,"['contact is touch', 'appendages can sense touch']",D
the Sun is the star that is closest to Earth,The Earth's primary source of both light and heat is,jupiter,the moon,a yellow dewarf,titan,"['the sun is the closest star to earth', 'The sun is a source of heat for the earth']",C
heat can change the state of matter,The level of atom activity where it reaches a moment where the solid state becomes more loose overall is referred to?,smoothness,water fluid,liquidity,fluid transport,"['changing to liquid is a change in state of matter', 'Water is a form of matter, freezing is a change of state']",C
tectonic plates being pushed together causes earthquakes,"When certain things are shoved together enough, the earth will tremble and shake because of these",trail and error,water road,dirt collisions,wet trail,"['shoving is pushing', 'the earth shakes during an earthquake']",C
